# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.4556885,-11.23346,3.5,3.5
0.8849522,-10.09738,3.5,3.5
2.322902,-9.073675,3.5,3.5
3.816792,-8.12814,3.5,3.5
5.342896,-7.234704,3.5,3.5
6.887354,-6.373706,3.5,3.5
8.441586,-5.530164,3.5,3.5
9.999748,-4.692438,3.5,3.5
11.55739,-3.85128,3.5,3.5
13.11074,-2.999162,3.5,3.5
14.65083,-2.13298,3.5,3.5
16.17646,-1.246528,3.5,3.5
17.68899,-0.332711,3.5,3.5
19.1852,0.6124654,3.5,3.5
20.66191,1.592569,3.5,3.5
22.10629,2.603863,3.5,3.5
23.52533,3.655715,3.5,3.5
24.91581,4.75059,3.5,3.5
26.27161,5.888112,3.5,3.5
27.58486,7.06529,3.5,3.5
28.86013,8.289744,3.5,3.5
30.09477,9.562964,3.5,3.5
31.27341,10.87147,3.5,3.5
32.40585,12.22799,3.5,3.5
33.49003,13.63317,3.5,3.5
34.50977,15.06648,3.5,3.5
35.47831,16.54654,3.5,3.5
36.38955,18.06507,3.5,3.5
37.23631,19.60817,3.5,3.5
38.03127,21.19791,3.5,3.5
38.75787,22.79809,3.5,3.5
39.4306,24.43612,3.5,3.5
40.04292,26.09282,3.5,3.5
40.59721,27.76806,3.5,3.5
41.09752,29.46857,3.5,3.5
41.53978,31.17205,3.5,3.5
41.93262,32.90337,3.5,3.5
42.27081,34.62916,3.5,3.5
42.56245,36.37864,3.5,3.5
42.80503,38.12435,3.5,3.5
43.00293,39.88028,3.5,3.5
43.16097,41.68546,3.5,3.5
43.27359,43.46245,3.5,3.5
43.3398,45.20632,3.5,3.5
43.35802,46.99362,3.5,3.5
43.32292,48.73979,3.5,3.5
43.22832,50.52079,3.5,3.5
43.07242,52.26977,3.5,3.5
42.84735,54.02645,3.5,3.5
42.55043,55.76884,3.5,3.5
42.18051,57.48431,3.5,3.5
41.72679,59.20293,3.5,3.5
41.19762,60.88231,3.5,3.5
40.58762,62.53938,3.5,3.5
39.89912,64.16862,3.5,3.5
39.13924,65.76038,3.5,3.5
38.31004,67.32096,3.5,3.5
37.42049,68.84599,3.5,3.5
36.47658,70.33945,3.5,3.5
35.48573,71.80426,3.5,3.5
34.45985,73.23798,3.5,3.5
33.39937,74.65436,3.5,3.5
32.31604,76.0511,3.5,3.5
31.21844,77.42995,3.5,3.5
30.10101,78.80923,3.5,3.5
28.98653,80.1712,3.5,3.5
27.86482,81.53757,3.5,3.5
26.74284,82.90807,3.5,3.5
25.63342,84.27413,3.5,3.5
24.51907,85.66373,3.5,3.5
23.43416,87.03922,3.5,3.5
22.34416,88.44907,3.5,3.5
21.28815,89.84657,3.5,3.5
20.23138,91.28097,3.5,3.5
19.21084,92.7047,3.5,3.5
18.19093,94.16966,3.5,3.5
17.2128,95.61821,3.5,3.5
