# x_m,y_m,w_tr_right_m,w_tr_left_m
230.5,-270.1,3.5,3.5
231.049,-269.1899,3.5,3.5
231.5886,-268.2837,3.5,3.5
232.1187,-267.3814,3.5,3.5
232.6393,-266.483,3.5,3.5
233.1524,-265.5851,3.5,3.5
233.6736,-264.6598,3.5,3.5
234.1846,-263.7386,3.5,3.5
234.6855,-262.8216,3.5,3.5
235.1763,-261.9088,3.5,3.5
235.664,-260.9867,3.5,3.5
236.1527,-260.0468,3.5,3.5
236.6305,-259.1113,3.5,3.5
237.0974,-258.1804,3.5,3.5
237.5535,-257.2539,3.5,3.5
238.0132,-256.3015,3.5,3.5
238.4642,-255.348,3.5,3.5
238.9034,-254.3992,3.5,3.5
239.331,-253.4553,3.5,3.5
239.7545,-252.499,3.5,3.5
240.1742,-251.5279,3.5,3.5
240.5815,-250.562,3.5,3.5
240.9761,-249.6014,3.5,3.5
241.3622,-248.636,3.5,3.5
241.7459,-247.6485,3.5,3.5
242.1162,-246.6665,3.5,3.5
242.473,-245.6901,3.5,3.5
242.8192,-244.711,3.5,3.5
243.1616,-243.7084,3.5,3.5
243.4895,-242.7117,3.5,3.5
243.8029,-241.7211,3.5,3.5
244.1055,-240.7241,3.5,3.5
244.4005,-239.7083,3.5,3.5
244.6799,-238.6989,3.5,3.5
244.9439,-237.6959,3.5,3.5
245.1976,-236.6781,3.5,3.5
245.4388,-235.6516,3.5,3.5
245.6633,-234.6319,3.5,3.5
245.8714,-233.619,3.5,3.5
246.0692,-232.5789,3.5,3.5
246.2497,-231.5448,3.5,3.5
246.4125,-230.5179,3.5,3.5
246.5599,-229.4825,3.5,3.5
246.6913,-228.4366,3.5,3.5
246.804,-227.3986,3.5,3.5
246.8984,-226.3654,3.5,3.5
246.9758,-225.3115,3.5,3.5
247.0335,-224.2657,3.5,3.5
247.0715,-223.2281,3.5,3.5
247.09,-222.1757,3.5,3.5
247.088,-221.1263,3.5,3.5
247.0653,-220.0856,3.5,3.5
247.0211,-219.0381,3.5,3.5
246.9551,-217.99,3.5,3.5
246.8675,-216.9508,3.5,3.5
246.7572,-215.9103,3.5,3.5
246.6237,-214.8687,3.5,3.5
246.4678,-213.8363,3.5,3.5
246.2884,-212.8061,3.5,3.5
246.0847,-211.7765,3.5,3.5
245.8582,-210.7564,3.5,3.5
245.6078,-209.741,3.5,3.5
245.3327,-208.7292,3.5,3.5
245.0344,-207.727,3.5,3.5
244.7122,-206.7318,3.5,3.5
244.3657,-205.7432,3.5,3.5
243.996,-204.7642,3.5,3.5
243.603,-203.7946,3.5,3.5
243.1867,-202.8343,3.5,3.5
242.7472,-201.8836,3.5,3.5
242.2859,-200.9447,3.5,3.5
241.8026,-200.0172,3.5,3.5
241.2966,-199.0991,3.5,3.5
240.7706,-198.1951,3.5,3.5
240.2244,-197.3039,3.5,3.5
239.6561,-196.4219,3.5,3.5
239.0702,-195.5558,3.5,3.5
238.4661,-194.7036,3.5,3.5
237.8406,-193.8604,3.5,3.5
237.1997,-193.0337,3.5,3.5
236.5434,-192.2223,3.5,3.5
235.8664,-191.4195,3.5,3.5
235.1754,-190.6324,3.5,3.5
234.4727,-189.8627,3.5,3.5
233.7504,-189.1012,3.5,3.5
233.0135,-188.3527,3.5,3.5
232.2704,-187.6248,3.5,3.5
231.5087,-186.9046,3.5,3.5
230.7294,-186.193,3.5,3.5
229.9517,-185.5064,3.5,3.5
229.1564,-184.827,3.5,3.5
228.3437,-184.1549,3.5,3.5
227.5305,-183.5034,3.5,3.5
226.707,-182.8638,3.5,3.5
225.8672,-182.231,3.5,3.5
225.0189,-181.6107,3.5,3.5
224.1721,-181.0095,3.5,3.5
223.3101,-180.4146,3.5,3.5
222.4327,-179.8262,3.5,3.5
221.5616,-179.258,3.5,3.5
220.6817,-178.6994,3.5,3.5
219.7874,-178.1468,3.5,3.5
218.8735,-177.5974,3.5,3.5
217.9323,-177.0672,3.5,3.5
216.9993,-176.5876,3.5,3.5
216.0744,-176.1575,3.5,3.5
215.0993,-175.7532,3.5,3.5
214.1044,-175.3929,3.5,3.5
213.1184,-175.0877,3.5,3.5
212.1089,-174.8289,3.5,3.5
211.0728,-174.6196,3.5,3.5
210.0458,-174.4684,3.5,3.5
209.0075,-174.3721,3.5,3.5
207.9568,-174.3322,3.5,3.5
206.9149,-174.3493,3.5,3.5
205.8728,-174.4223,3.5,3.5
204.8334,-174.5501,3.5,3.5
203.8019,-174.7302,3.5,3.5
202.7842,-174.9592,3.5,3.5
201.7751,-175.2353,3.5,3.5
200.7728,-175.5569,3.5,3.5
199.7968,-175.9141,3.5,3.5
198.828,-176.3105,3.5,3.5
197.865,-176.7445,3.5,3.5
196.9341,-177.2005,3.5,3.5
196.0075,-177.6885,3.5,3.5
195.0854,-178.2066,3.5,3.5
194.1947,-178.7364,3.5,3.5
193.3072,-179.2915,3.5,3.5
192.4226,-179.8702,3.5,3.5
191.564,-180.4548,3.5,3.5
190.7095,-181.0574,3.5,3.5
189.857,-181.678,3.5,3.5
189.0215,-182.3033,3.5,3.5
188.1929,-182.9389,3.5,3.5
187.3654,-183.5873,3.5,3.5
186.546,-184.2415,3.5,3.5
185.7356,-184.8988,3.5,3.5
184.9256,-185.5647,3.5,3.5
184.1169,-186.2368,3.5,3.5
183.3171,-186.9073,3.5,3.5
182.5169,-187.5825,3.5,3.5
181.7161,-188.2611,3.5,3.5
180.9182,-188.9388,3.5,3.5
180.1204,-189.6164,3.5,3.5
179.3213,-190.2938,3.5,3.5
178.5205,-190.9698,3.5,3.5
177.7178,-191.6435,3.5,3.5
176.9131,-192.3133,3.5,3.5
176.1063,-192.978,3.5,3.5
175.2916,-193.6408,3.5,3.5
174.4741,-194.2963,3.5,3.5
173.6537,-194.9429,3.5,3.5
172.824,-195.5842,3.5,3.5
171.9865,-196.2173,3.5,3.5
171.1454,-196.8375,3.5,3.5
170.2965,-197.4463,3.5,3.5
169.4325,-198.0471,3.5,3.5
168.5639,-198.6306,3.5,3.5
167.6905,-199.1954,3.5,3.5
166.7944,-199.751,3.5,3.5
165.8925,-200.2845,3.5,3.5
164.9847,-200.7944,3.5,3.5
164.0563,-201.2867,3.5,3.5
163.1169,-201.7537,3.5,3.5
162.1707,-202.1915,3.5,3.5
161.207,-202.6029,3.5,3.5
160.2295,-202.9836,3.5,3.5
159.244,-203.3293,3.5,3.5
158.2454,-203.64,3.5,3.5
157.234,-203.9131,3.5,3.5
156.2135,-204.1457,3.5,3.5
155.1862,-204.3358,3.5,3.5
154.1519,-204.482,3.5,3.5
153.1077,-204.5833,3.5,3.5
152.0633,-204.6377,3.5,3.5
151.0237,-204.6451,3.5,3.5
149.9739,-204.605,3.5,3.5
148.9253,-204.5172,3.5,3.5
147.9023,-204.3856,3.5,3.5
146.8692,-204.2067,3.5,3.5
145.8257,-203.9791,3.5,3.5
144.8372,-203.7202,3.5,3.5
143.8428,-203.4174,3.5,3.5
142.8388,-203.0688,3.5,3.5
141.86,-202.6878,3.5,3.5
140.9213,-202.2844,3.5,3.5
139.974,-201.8398,3.5,3.5
139.0179,-201.3533,3.5,3.5
138.1053,-200.8537,3.5,3.5
137.2247,-200.3392,3.5,3.5
136.3365,-199.7884,3.5,3.5
135.4406,-199.2007,3.5,3.5
134.5664,-198.5964,3.5,3.5
133.7491,-198.004,3.5,3.5
132.9253,-197.3805,3.5,3.5
132.095,-196.7254,3.5,3.5
131.2582,-196.0382,3.5,3.5
130.4307,-195.3394,3.5,3.5
129.6137,-194.6621,3.5,3.5
128.7968,-194.0012,3.5,3.5
127.9803,-193.3565,3.5,3.5
127.1642,-192.7279,3.5,3.5
126.321,-192.0949,3.5,3.5
125.4659,-191.4698,3.5,3.5
124.6115,-190.8621,3.5,3.5
123.7581,-190.2717,3.5,3.5
122.9045,-189.6975,3.5,3.5
122.0123,-189.1148,3.5,3.5
121.1214,-188.5505,3.5,3.5
120.232,-188.0045,3.5,3.5
119.3442,-187.4767,3.5,3.5
118.4341,-186.9532,3.5,3.5
117.5087,-186.4391,3.5,3.5
116.5855,-185.9443,3.5,3.5
115.6647,-185.4687,3.5,3.5
114.7325,-185.0053,3.5,3.5
113.7754,-184.5484,3.5,3.5
112.8214,-184.1118,3.5,3.5
111.8706,-183.6954,3.5,3.5
110.912,-183.2942,3.5,3.5
109.9269,-182.9015,3.5,3.5
108.9459,-182.5301,3.5,3.5
107.9693,-182.1798,3.5,3.5
106.9814,-181.845,3.5,3.5
105.9729,-181.5236,3.5,3.5
104.9698,-181.2244,3.5,3.5
103.9723,-180.9469,3.5,3.5
102.9541,-180.6844,3.5,3.5
101.928,-180.4412,3.5,3.5
100.9087,-180.2208,3.5,3.5
99.89386,-180.0223,3.5,3.5
98.84885,-179.84,3.5,3.5
97.81209,-179.6814,3.5,3.5
96.78386,-179.5461,3.5,3.5
95.7397,-179.4314,3.5,3.5
94.69031,-179.3392,3.5,3.5
93.65108,-179.2712,3.5,3.5
92.61026,-179.2265,3.5,3.5
91.55382,-179.2054,3.5,3.5
90.50934,-179.209,3.5,3.5
89.47278,-179.237,3.5,3.5
88.41562,-179.2912,3.5,3.5
87.37259,-179.3705,3.5,3.5
86.34248,-179.4747,3.5,3.5
85.29184,-179.6082,3.5,3.5
84.25764,-179.7672,3.5,3.5
83.23769,-179.9517,3.5,3.5
82.20174,-180.1682,3.5,3.5
81.18486,-180.4103,3.5,3.5
80.1803,-180.6796,3.5,3.5
79.16844,-180.9824,3.5,3.5
78.17873,-181.3108,3.5,3.5
77.19659,-181.67,3.5,3.5
76.2198,-182.062,3.5,3.5
75.26849,-182.4794,3.5,3.5
74.31834,-182.9338,3.5,3.5
73.38925,-183.4173,3.5,3.5
72.48352,-183.9291,3.5,3.5
71.58403,-184.4807,3.5,3.5
70.71741,-185.0571,3.5,3.5
69.86484,-185.6721,3.5,3.5
69.04039,-186.3177,3.5,3.5
68.24619,-186.9937,3.5,3.5
67.47423,-187.7091,3.5,3.5
66.74435,-188.4475,3.5,3.5
66.03757,-189.2311,3.5,3.5
65.37671,-190.0376,3.5,3.5
64.75201,-190.8814,3.5,3.5
64.17363,-191.7529,3.5,3.5
63.64206,-192.6543,3.5,3.5
63.1604,-193.5849,3.5,3.5
62.73387,-194.5388,3.5,3.5
62.3631,-195.5195,3.5,3.5
62.05359,-196.5175,3.5,3.5
61.80612,-197.5355,3.5,3.5
61.62402,-198.5659,3.5,3.5
61.5087,-199.6053,3.5,3.5
61.46097,-200.6535,3.5,3.5
61.48126,-201.6956,3.5,3.5
61.56973,-202.7441,3.5,3.5
61.72293,-203.7722,3.5,3.5
61.94275,-204.8013,3.5,3.5
62.2216,-205.8036,3.5,3.5
62.56174,-206.7959,3.5,3.5
62.9455,-207.7467,3.5,3.5
63.35492,-208.6881,3.5,3.5
63.80916,-209.682,3.5,3.5
64.24319,-210.5947,3.5,3.5
64.70412,-211.5328,3.5,3.5
65.1964,-212.5061,3.5,3.5
65.66107,-213.4023,3.5,3.5
66.14893,-214.3232,3.5,3.5
66.66006,-215.2689,3.5,3.5
67.15967,-216.1767,3.5,3.5
67.66338,-217.0774,3.5,3.5
68.1852,-217.9964,3.5,3.5
68.72165,-218.9278,3.5,3.5
69.23608,-219.8092,3.5,3.5
69.76512,-220.7046,3.5,3.5
70.3084,-221.6134,3.5,3.5
70.86008,-222.5258,3.5,3.5
71.39503,-223.4013,3.5,3.5
71.94183,-224.2871,3.5,3.5
72.5002,-225.1829,3.5,3.5
73.06987,-226.0881,3.5,3.5
73.62111,-226.9559,3.5,3.5
74.18173,-227.8308,3.5,3.5
74.75191,-228.7131,3.5,3.5
75.33147,-229.6022,3.5,3.5
75.90575,-230.4759,3.5,3.5
76.47827,-231.3401,3.5,3.5
77.05884,-232.2094,3.5,3.5
77.64726,-233.0838,3.5,3.5
78.24341,-233.9627,3.5,3.5
78.82721,-234.817,3.5,3.5
79.41779,-235.6747,3.5,3.5
80.01508,-236.5359,3.5,3.5
80.6189,-237.4,3.5,3.5
81.22528,-238.2615,3.5,3.5
81.82623,-239.1091,3.5,3.5
82.43291,-239.9587,3.5,3.5
83.04521,-240.81,3.5,3.5
83.66299,-241.6628,3.5,3.5
84.28181,-242.5109,3.5,3.5
84.89894,-243.3506,3.5,3.5
85.52087,-244.1908,3.5,3.5
86.14752,-245.0314,3.5,3.5
86.77867,-245.8718,3.5,3.5
87.41135,-246.7082,3.5,3.5
88.04439,-247.539,3.5,3.5
88.68147,-248.369,3.5,3.5
89.32242,-249.1979,3.5,3.5
89.9671,-250.0255,3.5,3.5
90.6144,-250.8501,3.5,3.5
91.26372,-251.6711,3.5,3.5
91.91635,-252.4899,3.5,3.5
92.57216,-253.3063,3.5,3.5
93.23102,-254.1201,3.5,3.5
93.89348,-254.9319,3.5,3.5
94.55992,-255.7419,3.5,3.5
95.22902,-256.5484,3.5,3.5
95.90059,-257.3512,3.5,3.5
96.57452,-258.15,3.5,3.5
97.25317,-258.9475,3.5,3.5
97.93797,-259.745,3.5,3.5
98.62473,-260.5377,3.5,3.5
99.31331,-261.3251,3.5,3.5
100.0036,-262.1071,3.5,3.5
100.7002,-262.8888,3.5,3.5
101.4049,-263.6717,3.5,3.5
102.1109,-264.4481,3.5,3.5
102.818,-265.2177,3.5,3.5
103.526,-265.9802,3.5,3.5
104.244,-266.7449,3.5,3.5
104.9704,-267.5098,3.5,3.5
105.6973,-268.2664,3.5,3.5
106.4246,-269.0143,3.5,3.5
107.1522,-269.7533,3.5,3.5
107.8972,-270.5004,3.5,3.5
108.6472,-271.2424,3.5,3.5
109.397,-271.974,3.5,3.5
110.1463,-272.6947,3.5,3.5
110.8992,-273.4081,3.5,3.5
111.676,-274.1328,3.5,3.5
112.4518,-274.8447,3.5,3.5
113.2263,-275.5434,3.5,3.5
113.9993,-276.2284,3.5,3.5
114.7958,-276.9212,3.5,3.5
115.6013,-277.6079,3.5,3.5
116.4046,-278.2785,3.5,3.5
117.2053,-278.9326,3.5,3.5
118.0229,-279.5849,3.5,3.5
118.8621,-280.2379,3.5,3.5
119.6978,-280.871,3.5,3.5
120.5296,-281.4835,3.5,3.5
121.3793,-282.0904,3.5,3.5
122.2558,-282.696,3.5,3.5
123.1271,-283.2765,3.5,3.5
123.9927,-283.8313,3.5,3.5
124.892,-284.3837,3.5,3.5
125.808,-284.92,3.5,3.5
126.7164,-285.4245,3.5,3.5
127.6243,-285.9002,3.5,3.5
128.5891,-286.3729,3.5,3.5
129.5435,-286.8056,3.5,3.5
130.487,-287.1972,3.5,3.5
131.4879,-287.5711,3.5,3.5
132.4871,-287.899,3.5,3.5
133.4716,-288.1747,3.5,3.5
134.5115,-288.4113,3.5,3.5
135.5447,-288.5863,3.5,3.5
136.5651,-288.6957,3.5,3.5
137.6292,-288.7365,3.5,3.5
138.6683,-288.6972,3.5,3.5
139.7035,-288.5723,3.5,3.5
140.7296,-288.3546,3.5,3.5
141.7248,-288.0436,3.5,3.5
142.6825,-287.6398,3.5,3.5
143.608,-287.1394,3.5,3.5
144.4954,-286.5625,3.5,3.5
145.3654,-285.978,3.5,3.5
