# f0c33d72-89a0-46f5-b9a9-61367f6c3a46
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.0885557; -13.0004099; -0.7950155; -0.0132392; 8.0863298; 0.0401862
0.4999649; 1.4462388; -12.6517963; -0.8013748; -0.0121972; 8.0888140; 0.0439689
0.9999299; 1.8061532; -12.3052615; -0.8072234; -0.0113171; 8.0915313; 0.0476640
1.4998948; 2.1685430; -11.9602761; -0.8127181; -0.0107048; 8.0944758; 0.0522814
1.9998598; 2.5325740; -11.6174329; -0.8179765; -0.0103256; 8.0977044; 0.0570332
2.4998247; 2.8979426; -11.2768690; -0.8230310; -0.0099089; 8.1012250; 0.0602104
2.9997897; 3.2654496; -10.9376979; -0.8278817; -0.0094836; 8.1049400; 0.0633469
3.4997546; 3.6349571; -10.5999134; -0.8325211; -0.0090535; 8.1088467; 0.0681148
3.9997196; 4.0049748; -10.2647223; -0.8369268; -0.0085980; 8.1130453; 0.0705703
4.4996845; 4.3769342; -9.9306702; -0.8411122; -0.0081367; 8.1173930; 0.0729237
4.9996495; 4.7507206; -9.5977162; -0.8450687; -0.0076716; 8.1218833; 0.0765220
5.4996144; 5.1249897; -9.2668972; -0.8487785; -0.0071860; 8.1265925; 0.0786068
5.9995794; 5.5007150; -8.9371866; -0.8522499; -0.0066958; 8.1314271; 0.0803351
6.4995443; 5.8779787; -8.6083564; -0.8554783; -0.0062053; 8.1363650; 0.0829147
6.9995093; 6.2556817; -8.2811994; -0.8584522; -0.0057014; 8.1414584; 0.0844886
7.4994742; 6.6344693; -7.9549874; -0.8611774; -0.0051971; 8.1466452; 0.0856871
7.9994391; 7.0144574; -7.6294584; -0.8636525; -0.0046959; 8.1519021; 0.0874619
8.4994041; 7.3947570; -7.3052074; -0.8658714; -0.0041867; 8.1572645; 0.0884637
8.9993690; 7.7758790; -6.9816304; -0.8678397; -0.0036870; 8.1626847; 0.0892233
9.4993340; 8.1578238; -6.6585652; -0.8695607; -0.0031861; 8.1681478; 0.0902972
9.9992989; 8.5399607; -6.3363764; -0.8710057; -0.0025979; 8.1736730; 0.0907811
